tanggal,umkm_kategori,total_pengeluaran,jumlah_invoice,total_item,total_pemasukan,net_cash_flow,tahun,bulan,hari_ke_minggu,minggu_ke_tahun,is_weekend,is_peak_month,nama_hari,cashflow_kumulatif,cashflow_ma7,cashflow_ma30,income_lag7,income_lag30,cashflow_lag1,cashflow_lag7,split
2009-12-01,Jasa & Servis,3688000,51,646,29231000,25543000,2009,12,1,49,0,1,Tuesday,25543000,25543000,25543000,,,,,train
2009-12-02,Jasa & Servis,1177000,37,1838,31718000,30541000,2009,12,2,49,0,1,Wednesday,56084000,28042000,28042000,,,25543000.0,,train
2009-12-03,Jasa & Servis,844000,39,517,24736000,23892000,2009,12,3,49,0,1,Thursday,79976000,26658666,26658666,,,30541000.0,,train
2009-12-04,Jasa & Servis,747000,28,419,18653000,17906000,2009,12,4,49,0,1,Friday,97882000,24470500,24470500,,,23892000.0,,train
2009-12-06,Jasa & Servis,94000,32,286,16002000,15908000,2009,12,6,49,1,1,Sunday,113790000,22758000,22758000,,,17906000.0,,train
2009-12-07,Jasa & Servis,566000,35,398,22702000,22136000,2009,12,0,50,0,1,Monday,135926000,22654333,22654333,,,15908000.0,,train
2009-12-08,Jasa & Servis,851000,29,546,23678000,22827000,2009,12,1,50,0,1,Tuesday,158753000,22679000,22679000,,,22136000.0,,train
2009-12-10,Jasa & Servis,180000,33,515,18318000,18138000,2009,12,3,50,0,1,Thursday,176891000,21621142,22111375,29231000.0,,22827000.0,25543000.0,train
2009-12-11,Jasa & Servis,841000,29,292,10202000,9361000,2009,12,4,50,0,1,Friday,186252000,18595428,20694666,31718000.0,,18138000.0,30541000.0,train
2009-12-14,Jasa & Servis,715000,39,1447,42583000,41868000,2009,12,0,51,0,1,Monday,228120000,21163428,22812000,24736000.0,,9361000.0,23892000.0,train
2009-12-15,Jasa & Servis,1500000,37,535,30186000,28686000,2009,12,1,51,0,1,Tuesday,256806000,22703428,23346000,18653000.0,,41868000.0,17906000.0,train
2009-12-16,Jasa & Servis,60000,33,428,24623000,24563000,2009,12,2,51,0,1,Wednesday,281369000,23939857,23447416,16002000.0,,28686000.0,15908000.0,train
2009-12-17,Jasa & Servis,850000,30,328,10029000,9179000,2009,12,3,51,0,1,Thursday,290548000,22088857,22349846,22702000.0,,24563000.0,22136000.0,train
2009-12-18,Jasa & Servis,114000,27,916,37431000,37317000,2009,12,4,51,0,1,Friday,327865000,24158857,23418928,23678000.0,,9179000.0,22827000.0,train
2009-12-19,Jasa & Servis,959000,0,0,0,-959000,2009,12,5,51,1,1,Saturday,326906000,21430714,21793733,18318000.0,,37317000.0,18138000.0,train
2009-12-20,Jasa & Servis,711000,11,76,4177000,3466000,2009,12,6,51,1,1,Sunday,330372000,20588571,20648250,10202000.0,,-959000.0,9361000.0,train
2009-12-22,Jasa & Servis,831000,22,392,24739000,23908000,2009,12,1,52,0,1,Tuesday,354280000,18022857,20840000,42583000.0,,3466000.0,41868000.0,train
2009-12-23,Jasa & Servis,732000,7,100,3140000,2408000,2009,12,2,52,0,1,Wednesday,356688000,14268857,19816000,30186000.0,,23908000.0,28686000.0,train
2009-12-25,Jasa & Servis,985000,0,0,0,-985000,2009,12,4,52,0,1,Friday,355703000,10619142,18721210,24623000.0,,2408000.0,24563000.0,train
2009-12-26,Jasa & Servis,1197000,0,0,0,-1197000,2009,12,5,52,1,1,Saturday,354506000,9136857,17725300,10029000.0,,-985000.0,9179000.0,train
2009-12-28,Jasa & Servis,874000,0,0,0,-874000,2009,12,0,53,0,1,Monday,353632000,3681000,16839619,37431000.0,,-1197000.0,37317000.0,train
2009-12-29,Jasa & Servis,914000,0,0,0,-914000,2009,12,1,53,0,1,Tuesday,352718000,3687428,16032636,0.0,,-874000.0,-959000.0,train
2009-12-30,Jasa & Servis,911000,0,0,0,-911000,2009,12,2,53,0,1,Wednesday,351807000,3062142,15295956,4177000.0,,-914000.0,3466000.0,train
2009-12-31,Jasa & Servis,246000,0,0,0,-246000,2009,12,3,53,0,1,Thursday,351561000,-388428,14648375,24739000.0,,-911000.0,23908000.0,train
2010-01-01,Jasa & Servis,3236000,0,0,0,-3236000,2010,1,4,53,0,1,Friday,348325000,-1194714,13933000,3140000.0,,-246000.0,2408000.0,train
2010-01-02,Jasa & Servis,934000,0,0,0,-934000,2010,1,5,53,1,1,Saturday,347391000,-1187428,13361192,0.0,,-3236000.0,-985000.0,train
